org_lifestage,source_provider,source_ontology,source_term_id,source_term_label,source_term_definition,source_release,source_match_method,source_match_status,candidate_rank,candidate_score,candidate_reason,ecotox_release,harmonized_life_stage,reproductive_stage,derivation_source
Scape elongation,PlantOntologyOBO,PO,PO:0007089,stem elongation stage,The stage at which the internodes elongate.,po_current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,auto_ontology_category_map
Seed,OLS4,PO,PO:0009010,seed,"A seed generally develops from an ovule (PO:0020003) after fertilization, but may develop without fertilization in the case of apogamy (e.g., adventitious embryos or somatic embryos). A seed is a reproductive unit of seed plants (gymnosperms, angiosperms, and fossil pteridosperms).",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,auto_ontology_category_map
Seedling,OLS4,PO,PO:0008037,seedling,"A young plant derived from a newly germinated seed, up until the development of the first true leaf.",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,auto_ontology_category_map
Senescence,OLS4,PO,PO:0001036,H anther senescence stage,Stage during which the senescence of anther and stamen occurs. Shrinkage of cells and anther structure takes place.,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Senescent/Dormant,FALSE,auto_ontology_category_map
Sexually immature,NVS,S11,S1171,immature,"This term may have subtle variations in its definition depending on the type of organism it relates to. In a general sense, it applies to organisms that are at the last stage of their juvenile development prior to a fully mature adult stage, ie when an organism looks like an adult but its reproductive organs have not yet reached maturity.",current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Subadult,FALSE,baseline_curated_source_id
Sexually mature,NVS,S11,S1116,adult,An animal that has reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,baseline_curated_source_id
Shoot,,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Plant structure label, not a developmental life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Smolt,NVS,S11,S1173,smolt,A young salmon or sea-going trout that is at the stage of development when it assumes a silvery color and is physiologically ready to migrate to the sea.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Spat,NVS,S11,S1170,spat,"Shellfish larvae of the Bivalvia class (e.g. oysters, mussels, scallops) that have settled on a substrate following the end of their planktonic life stage (plural form may be spat or spats).",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,auto_ontology_category_map
Spawning,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Reproductive event/activity; quarantined because it is not a developmental life stage,ecotox_ascii_03_12_2026.zip,Other/Unknown,TRUE,curation_queue
Sperm,,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Gamete or cell-type label, not a developmental life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Spore,NVS,S11,S1135,spore,,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Senescent/Dormant,FALSE,baseline_curated_source_id
Sporeling,Curated,PO,PO:0008037,juvenile vascular leaf stage,,curation_queue,force_unresolved,unresolved,1,0,Retain candidate metadata for review only; do not ship as a resolved dictionary mapping without source-backed support.,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,curation_queue
Stationary growth phase,,,,,,curation_queue,accept_unresolved,unresolved,1,0,"Microbial growth phase, not a life stage",ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Subadult,Curated,S11,S1116,adult,An animal that has reached sexual maturity,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,curation_queue
Swim-up,Curated,FOODON,FOODON:00004318,fry (fish),A fish that is recently hatched and has reached the stage where its yolk-sac has almost disappeared and its swim bladder is operational to the point where the fish can actively feed for itself.,curation_queue,curation_queue,resolved,1,100,Usage-priority review: swim-up is a free-feeding fry state; use exact broad fish fry source and keep Juvenile harmonization.,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,curation_queue
Tadpole,OLS4,UBERON,UBERON:0002547,tadpole,An an organism at the tadpole stage.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Tiller stage,Curated,PO,PO:0007073,2 formation of axillary shoot stage,The stage at which the axillary shoots are forming.,curation_queue,curation_queue,resolved,1,100,Audit and curated-candidate artifacts provide a stable source-backed ontology term; promote to manual force_candidate with definition preserved.,ecotox_ascii_03_12_2026.zip,Adult,FALSE,curation_queue
Tissue culture callus,PlantOntologyOBO,PO,PO:0000009,cultured plant callus,A plant callus (PO:0005052) grown or maintained in vitro.,po_current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,manual_derivation
Trophozoite,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Protozoan feeding-form stage; biologically real but not a clean fit to the harmonized stage model,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Tuber,OLS4,PO,PO:0025522,tuber,"Functions in storage of photosynthate metabolites. May develop from a branch (PO:0025073) or a root (PO:0009005).  If you are annotating to tuber, you should pick the more specific child term: shoot axis tuber (PO:0004543) or tuberous root tuber (PO:0025476).",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Senescent/Dormant,FALSE,auto_ontology_category_map
Turion,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Plant dormant propagule term with competing PO shoot-system candidates; not yet a clean single-source mapping,ecotox_ascii_03_12_2026.zip,Other/Unknown,FALSE,curation_queue
Underyearling,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Unspecified,,,,,,curation_queue,accept_unresolved,unresolved,1,0,Maps to Unspecified; no ontology source; data quality artifact,ecotox_ascii_03_12_2026.zip,Unspecified,FALSE,curation_queue
Veliger,NVS,S11,S1193,veliger,Planktonic larva typical of many marine and freshwater snails and bivalves. The veliger develops from the trochophore larva.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,auto_ontology_category_map
Virgin,NVS,S11,S1116,adult,An animal that has reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Adult,FALSE,baseline_curated_source_id
Weanling,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Yearling,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
"Yolk sac larvae, sac larvae",Curated,S11,S1187,yolk-sac larva,A fish life stage between hatching and until complete absorption of yolk-sac.,curation_queue,curation_queue,resolved,1,100,Usage-priority review: keep exact NVS yolk-sac larva instead of broader larva replacement.,ecotox_ascii_03_12_2026.zip,Larva,FALSE,curation_queue
Young,Curated,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,curation_queue
Young adult,NVS,S11,S1116,adult,An animal that has reached sexual maturity,current,baseline_review,resolved,1,75,boundary_match;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Adult,FALSE,baseline_curated_source_id
Young of year,NVS,S11,S1127,juvenile,An animal that has not yet reached sexual maturity,current,provider_rank,resolved,1,100,exact_normalized_label,ecotox_ascii_03_12_2026.zip,Juvenile,FALSE,baseline_curated_source_id
Zoea,NVS,S11,S1137,zoea,"Free-swimming planktonic larval form of decapod crustaceans (especially crabs) with a relatively large cephalothorax, conspicuous eyes, and fringed antennae and mouthparts.",current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Larva,FALSE,baseline_curated_source_id
Zygospore,Curated,S11,S1134,resting spore,"A resting spore is a dormant, environmentally resistant spore stage.",curation_queue,curation_queue,resolved,1,100,Automated run produced ambiguous candidates; retain curated source-backed bridge.,ecotox_ascii_03_12_2026.zip,Senescent/Dormant,FALSE,curation_queue
Zygote,OLS4,UBERON,CL:0010017,zygote,A zygote in a plant or an animal.,current,baseline_review,resolved,1,100,exact_normalized_label;baseline_reviewed,ecotox_ascii_03_12_2026.zip,Egg/Embryo,FALSE,auto_ontology_category_map
